TelCon,Content code,start,end,duration,content,topic
F33,p,547.811,548.324,0.513,cF,airmap
F33,s,548.324,548.81,0.486,silence,airmap
F33,p,548.81,549.184,0.374,rM,airmap
F33,s,549.184,552.542,3.358,silence,airmap
F33,p,552.542,554.868,2.326,rM,whisky
F33,s,554.868,555.52,0.652,silence,whisky
F33,p,555.52,563.703,8.183,cF,whisky
F33,pp,563.703,564.161,0.458,cF rM,whisky
F33,p,564.161,569.486,5.325,cF,whisky
F33,pp,569.486,570.197,0.711,cF rM,whisky
F33,p,570.197,571.556,1.359,cF,whisky
F33,pp,571.556,571.883,0.327,cF rM,whisky
F33,p,571.883,573.969,2.086,cF,whisky
F33,pp,573.969,574.632,0.663,cF rM,whisky
F33,l,574.632,576.115,1.483,laughter_cF,whisky
F33,ll,576.115,576.968,0.853,laughter_cF laughter_rM,whisky
F33,p,576.968,577.538,0.57,cF,whisky
F33,pp,577.538,578.769,1.231,cF rM,whisky
F33,p,578.769,580.911,2.142,rM,whisky
F33,s,580.911,581.004,0.093,silence,whisky
F33,p,581.004,581.303,0.299,cF,whisky
F33,s,581.303,581.482,0.179,silence,whisky
F33,pf,581.482,581.967,0.485,cF filler_rM,whisky
F33,p,581.967,583.714,1.747,cF,whisky
F33,pp,583.714,584.022,0.308,cF rM,whisky
F33,p,584.022,584.434,0.412,rM,whisky
F33,f,584.434,585.022,0.588,filler_rM,whisky
F33,p,585.022,592.195,7.173,rM,whisky
F33,p,592.195,592.522,0.327,cF,whisky
F33,pp,592.522,592.927,0.405,cF rM,whisky
F33,p,592.927,593.964,1.037,rM,whisky
F33,pp,593.964,595.758,1.794,cF rM,whisky
F33,p,595.758,603.334,7.576,cF,whisky
F33,s,603.334,604.642,1.308,silence,whisky
F33,p,604.642,605.193,0.551,rM,whisky
F33,pp,605.193,607.108,1.915,cF rM,whisky
F33,l,607.108,607.613,0.505,laughter_cF,whisky
F33,s,607.613,608.145,0.532,silence,whisky
F33,l,608.145,608.893,0.748,laughter_rM,whisky
F33,p,608.893,614.583,5.69,rM,whisky
F33,pp,614.583,615.91,1.327,cF rM,whisky
F33,p,615.91,617.554,1.644,rM,whisky
F33,pbc,617.554,617.909,0.355,bc_cF rM,whisky
F33,p,617.909,618.133,0.224,rM,whisky
F33,f,618.133,618.675,0.542,filler_rM,whisky
F33,p,618.675,628.151,9.476,rM,whisky
F33,s,628.151,629.543,1.392,silence,whisky
F33,p,629.543,629.665,0.122,cF,whisky
F33,pp,629.665,631.02,1.355,cF rM,whisky
F33,p,631.02,631.15,0.13,rM,whisky
F33,s,631.15,632.412,1.262,silence,whisky
F33,p,632.412,636.24,3.828,rM,whisky
F33,pbc,636.24,636.645,0.405,bc_cF rM,whisky
F33,p,636.645,637.944,1.299,rM,whisky
F33,s,637.944,640.034,2.09,silence,whisky
F33,p,640.034,641.243,1.209,rM,whisky
F33,p,641.243,641.42,0.177,cF,whisky
F33,pp,641.42,642.216,0.796,cF rM,whisky
F33,p,642.216,642.589,0.373,cF,whisky
F33,s,642.589,642.907,0.318,silence,whisky
F33,p,642.907,644.084,1.177,rM,whisky
F33,pp,644.084,644.411,0.327,cF rM,whisky
F33,p,644.411,644.654,0.243,cF,whisky
F33,s,644.654,647.616,2.962,silence,whisky
F33,f,647.616,648.317,0.701,filler_cF,compass
F33,p,648.317,652.189,3.872,cF,compass
F33,pp,652.189,652.76,0.571,cF rM,compass
F33,p,652.76,653.443,0.683,cF,compass
F33,s,653.443,654.471,1.028,silence,compass
F33,p,654.471,654.601,0.13,rM,compass
F33,pp,654.601,655.069,0.468,cF rM,compass
F33,p,655.069,658.927,3.858,rM,compass
F33,pbc,658.927,659.366,0.439,bc_cF rM,compass
F33,p,659.366,666.582,7.216,rM,compass
F33,pbc,666.582,666.984,0.402,bc_cF rM,compass
F33,p,666.984,669.273,2.289,rM,compass
F33,p,669.273,669.684,0.411,cF,compass
F33,pp,669.684,669.852,0.168,cF rM,compass
F33,p,669.852,673.048,3.196,cF,compass
F33,f,673.048,673.487,0.439,filler_cF,compass
F33,p,673.487,676.01,2.523,cF,compass
F33,s,676.01,678.308,2.298,silence,compass
F33,p,678.308,678.57,0.262,rM,compass
F33,pp,678.57,679.787,1.217,cF rM,compass
F33,p,679.787,685.225,5.438,rM,compass
F33,pbc,685.225,685.58,0.355,bc_cF rM,compass
F33,p,685.58,687.131,1.551,rM,compass
F33,pbc,687.131,687.561,0.43,bc_cF rM,compass
F33,p,687.561,688.476,0.915,rM,compass
F33,pp,688.476,688.841,0.365,cF rM,compass
F33,p,688.841,691.808,2.967,rM,compass
F33,p,691.808,692.051,0.243,cF,compass
F33,s,692.051,692.798,0.747,silence,compass
F33,p,692.798,693.189,0.391,rM,compass
F33,pp,693.189,694.209,1.02,cF rM,compass
